type,show_title,week,type2,year,url,url2,url3,url4
tv,nevertheless,2021-10-17,m,2021,https://www.rottentomatoes.com/tv/nevertheless_2021,https://www.rottentomatoes.com/tv/nevertheless,https://www.rottentomatoes.com/m/nevertheless_2021,https://www.rottentomatoes.com/m/nevertheless
tv,new_amsterdam,2023-02-12,m,2023,https://www.rottentomatoes.com/tv/new_amsterdam_2023,https://www.rottentomatoes.com/tv/new_amsterdam,https://www.rottentomatoes.com/m/new_amsterdam_2023,https://www.rottentomatoes.com/m/new_amsterdam
tv,newly_rich_newly_poor,2021-09-26,m,2021,https://www.rottentomatoes.com/tv/newly_rich_newly_poor_2021,https://www.rottentomatoes.com/tv/newly_rich_newly_poor,https://www.rottentomatoes.com/m/newly_rich_newly_poor_2021,https://www.rottentomatoes.com/m/newly_rich_newly_poor
tv,next_in_fashion,2023-03-12,m,2023,https://www.rottentomatoes.com/tv/next_in_fashion_2023,https://www.rottentomatoes.com/tv/next_in_fashion,https://www.rottentomatoes.com/m/next_in_fashion_2023,https://www.rottentomatoes.com/m/next_in_fashion
tv,neymar_the_perfect_chaos,2022-01-30,m,2022,https://www.rottentomatoes.com/tv/neymar_the_perfect_chaos_2022,https://www.rottentomatoes.com/tv/neymar_the_perfect_chaos,https://www.rottentomatoes.com/m/neymar_the_perfect_chaos_2022,https://www.rottentomatoes.com/m/neymar_the_perfect_chaos
m,night_teeth,2021-10-31,tv,2021,https://www.rottentomatoes.com/m/night_teeth_2021,https://www.rottentomatoes.com/m/night_teeth,https://www.rottentomatoes.com/tv/night_teeth_2021,https://www.rottentomatoes.com/tv/night_teeth
m,nightbooks,2021-09-26,tv,2021,https://www.rottentomatoes.com/m/nightbooks_2021,https://www.rottentomatoes.com/m/nightbooks,https://www.rottentomatoes.com/tv/nightbooks_2021,https://www.rottentomatoes.com/tv/nightbooks
m,nikamma,2022-08-21,tv,2022,https://www.rottentomatoes.com/m/nikamma_2022,https://www.rottentomatoes.com/m/nikamma,https://www.rottentomatoes.com/tv/nikamma_2022,https://www.rottentomatoes.com/tv/nikamma
m,nimona,2023-07-23,tv,2023,https://www.rottentomatoes.com/m/nimona_2023,https://www.rottentomatoes.com/m/nimona,https://www.rottentomatoes.com/tv/nimona_2023,https://www.rottentomatoes.com/tv/nimona
m,no_hard_feelings,2023-10-29,tv,2023,https://www.rottentomatoes.com/m/no_hard_feelings_2023,https://www.rottentomatoes.com/m/no_hard_feelings,https://www.rottentomatoes.com/tv/no_hard_feelings_2023,https://www.rottentomatoes.com/tv/no_hard_feelings
m,no_limit,2022-10-02,tv,2022,https://www.rottentomatoes.com/m/no_limit_2022,https://www.rottentomatoes.com/m/no_limit,https://www.rottentomatoes.com/tv/no_limit_2022,https://www.rottentomatoes.com/tv/no_limit
m,no_one_gets_out_alive,2021-10-03,tv,2021,https://www.rottentomatoes.com/m/no_one_gets_out_alive_2021,https://www.rottentomatoes.com/m/no_one_gets_out_alive,https://www.rottentomatoes.com/tv/no_one_gets_out_alive_2021,https://www.rottentomatoes.com/tv/no_one_gets_out_alive
m,no_ritmo_da_fe,2023-08-06,tv,2023,https://www.rottentomatoes.com/m/no_ritmo_da_fe_2023,https://www.rottentomatoes.com/m/no_ritmo_da_fe,https://www.rottentomatoes.com/tv/no_ritmo_da_fe_2023,https://www.rottentomatoes.com/tv/no_ritmo_da_fe
m,noah,2024-03-17,tv,2024,https://www.rottentomatoes.com/m/noah_2024,https://www.rottentomatoes.com/m/noah,https://www.rottentomatoes.com/tv/noah_2024,https://www.rottentomatoes.com/tv/noah
m,nobody,2023-12-10,tv,2023,https://www.rottentomatoes.com/m/nobody_2023,https://www.rottentomatoes.com/m/nobody,https://www.rottentomatoes.com/tv/nobody_2023,https://www.rottentomatoes.com/tv/nobody
m,nobody_sleeps_in_the_woods_tonight,2021-10-31,tv,2021,https://www.rottentomatoes.com/m/nobody_sleeps_in_the_woods_tonight_2021,https://www.rottentomatoes.com/m/nobody_sleeps_in_the_woods_tonight,https://www.rottentomatoes.com/tv/nobody_sleeps_in_the_woods_tonight_2021,https://www.rottentomatoes.com/tv/nobody_sleeps_in_the_woods_tonight
m,nobody_sleeps_in_the_woods_tonight_2,2021-11-07,tv,2021,https://www.rottentomatoes.com/m/nobody_sleeps_in_the_woods_tonight_2_2021,https://www.rottentomatoes.com/m/nobody_sleeps_in_the_woods_tonight_2,https://www.rottentomatoes.com/tv/nobody_sleeps_in_the_woods_tonight_2_2021,https://www.rottentomatoes.com/tv/nobody_sleeps_in_the_woods_tonight_2
m,noise,2023-03-26,tv,2023,https://www.rottentomatoes.com/m/noise_2023,https://www.rottentomatoes.com/m/noise,https://www.rottentomatoes.com/tv/noise_2023,https://www.rottentomatoes.com/tv/noise
tv,nothing_to_see_here,2023-12-03,m,2023,https://www.rottentomatoes.com/tv/nothing_to_see_here_2023,https://www.rottentomatoes.com/tv/nothing_to_see_here,https://www.rottentomatoes.com/m/nothing_to_see_here_2023,https://www.rottentomatoes.com/m/nothing_to_see_here
m,nowhere,2024-02-04,tv,2024,https://www.rottentomatoes.com/m/nowhere_2024,https://www.rottentomatoes.com/m/nowhere,https://www.rottentomatoes.com/tv/nowhere_2024,https://www.rottentomatoes.com/tv/nowhere
m,o_candidato_honesto,2021-07-11,tv,2021,https://www.rottentomatoes.com/m/o_candidato_honesto_2021,https://www.rottentomatoes.com/m/o_candidato_honesto,https://www.rottentomatoes.com/tv/o_candidato_honesto_2021,https://www.rottentomatoes.com/tv/o_candidato_honesto
