category,show_title,week,category2,year,url,url2,url3,url4
tv,who_killed_jill_dando,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/who_killed_jill_dando_2023,https://www.rottentomatoes.com/tv/who_killed_jill_dando,https://www.rottentomatoes.com/m/who_killed_jill_dando_2023,https://www.rottentomatoes.com/m/who_killed_jill_dando
tv,the_devils_plan,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/the_devils_plan_2023,https://www.rottentomatoes.com/tv/the_devils_plan,https://www.rottentomatoes.com/m/the_devils_plan_2023,https://www.rottentomatoes.com/m/the_devils_plan
tv,burning_body,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/burning_body_2023,https://www.rottentomatoes.com/tv/burning_body,https://www.rottentomatoes.com/m/burning_body_2023,https://www.rottentomatoes.com/m/burning_body
tv,song_of_the_bandits,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/song_of_the_bandits_2023,https://www.rottentomatoes.com/tv/song_of_the_bandits,https://www.rottentomatoes.com/m/song_of_the_bandits_2023,https://www.rottentomatoes.com/m/song_of_the_bandits
tv,thursdays_widows,2023-10-08,m,2023,https://www.rottentomatoes.com/tv/thursdays_widows_2023,https://www.rottentomatoes.com/tv/thursdays_widows,https://www.rottentomatoes.com/m/thursdays_widows_2023,https://www.rottentomatoes.com/m/thursdays_widows
m,the_croods_a_new_age,2023-10-01,tv,2023,https://www.rottentomatoes.com/m/the_croods_a_new_age_2023,https://www.rottentomatoes.com/m/the_croods_a_new_age,https://www.rottentomatoes.com/tv/the_croods_a_new_age_2023,https://www.rottentomatoes.com/tv/the_croods_a_new_age
m,love_at_first_sight,2023-10-01,tv,2023,https://www.rottentomatoes.com/m/love_at_first_sight_2023,https://www.rottentomatoes.com/m/love_at_first_sight,https://www.rottentomatoes.com/tv/love_at_first_sight_2023,https://www.rottentomatoes.com/tv/love_at_first_sight
m,accused,2023-10-01,tv,2023,https://www.rottentomatoes.com/m/accused_2023,https://www.rottentomatoes.com/m/accused,https://www.rottentomatoes.com/tv/accused_2023,https://www.rottentomatoes.com/tv/accused
m,the_machine,2023-10-01,tv,2023,https://www.rottentomatoes.com/m/the_machine_2023,https://www.rottentomatoes.com/m/the_machine,https://www.rottentomatoes.com/tv/the_machine_2023,https://www.rottentomatoes.com/tv/the_machine
m,in_time,2023-10-01,tv,2023,https://www.rottentomatoes.com/m/in_time_2023,https://www.rottentomatoes.com/m/in_time,https://www.rottentomatoes.com/tv/in_time_2023,https://www.rottentomatoes.com/tv/in_time
m,force_of_nature,2023-10-01,tv,2023,https://www.rottentomatoes.com/m/force_of_nature_2023,https://www.rottentomatoes.com/m/force_of_nature,https://www.rottentomatoes.com/tv/force_of_nature_2023,https://www.rottentomatoes.com/tv/force_of_nature
